,sixty
862,46.6666666667
648,46.1904761905
346,45.4545454545
261,45.4545454545
896,45.2380952381
652,45.2173913043
401,45.0
613,45.0
904,44.7619047619
714,44.0909090909
704,44.0909090909
666,43.9130434783
734,43.8095238095
913,43.8095238095
344,43.6
101,43.5
911,43.5
708,43.5
431,43.3333333333
48,43.3333333333
689,43.3333333333
823,43.181818181800004
609,43.1578947368
486,43.1578947368
317,43.0
640,43.0
111,42.9411764706
42,42.903225806500004
781,42.8571428571
791,42.8571428571
82,42.8571428571
877,42.8571428571
499,42.6666666667
763,42.5925925926
840,42.5806451613
73,42.5806451613
548,42.5806451613
320,42.5
410,42.5
189,42.4242424242
205,42.4137931034
390,42.3529411765
160,42.2727272727
280,42.2580645161
303,42.2580645161
199,42.1739130435
858,42.1052631579
751,42.1052631579
165,42.0833333333
528,42.0689655172
597,42.0
596,42.0
693,41.935483871
786,41.9047619048
753,41.9047619048
864,41.7647058824
422,41.724137931
217,41.6
0,41.6
625,41.5151515152
129,41.4285714286
760,41.4285714286
890,41.3636363636
240,41.3636363636
867,41.3636363636
881,41.3513513514
651,41.2903225806
700,41.2903225806
894,41.2903225806
274,41.1111111111
467,41.1111111111
902,41.0
326,41.0
290,41.0
184,40.9523809524
17,40.9523809524
892,40.9090909091
35,40.8823529412
140,40.8571428571
539,40.8571428571
897,40.789473684200004
843,40.6060606061
85,40.588235294099995
122,40.5714285714
404,40.5555555556
342,40.5
207,40.476190476199996
618,40.4545454545
502,40.4347826087
483,40.4
59,40.3448275862
657,40.3225806452
365,40.303030303
107,40.2941176471
921,40.2857142857
256,40.277777777800004
403,40.0
899,40.0
88,40.0
168,40.0
683,39.6774193548
481,39.523809523800004
710,39.5
179,39.5
197,39.5
132,39.5
460,39.3939393939
147,39.3333333333
478,39.25
527,39.1428571429
241,39.130434782600005
934,39.130434782600005
400,39.130434782600005
608,39.0625
348,38.8888888889
905,38.8888888889
341,38.7096774194
442,38.6842105263
752,38.6486486486
267,38.6206896552
826,38.6206896552
724,38.3870967742
362,38.3333333333
266,38.2352941176
330,38.2142857143
109,38.2142857143
232,38.1818181818
591,37.9487179487
537,37.9411764706
32,37.9310344828
329,37.8260869565
943,37.8260869565
612,37.777777777800004
487,37.7419354839
25,37.7272727273
935,37.6923076923
512,37.5757575758
472,37.5757575758
462,37.5
416,37.4074074074
315,37.2972972973
617,37.037037037
563,37.0
54,36.7857142857
159,36.7741935484
568,36.7567567568
117,36.6666666667
621,36.5789473684
253,36.5517241379
445,36.4102564103
809,36.3333333333
755,36.25
671,36.0714285714
305,36.0
654,35.9459459459
807,35.5
736,35.3333333333
62,35.1724137931
156,34.6428571429
932,34.5833333333
628,33.783783783800004
233,33.25
