,ten
863,50.0
357,50.0
317,50.0
320,50.0
523,50.0
652,50.0
751,50.0
659,50.0
346,50.0
355,50.0
876,50.0
877,50.0
734,50.0
112,50.0
704,50.0
104,50.0
683,50.0
896,50.0
689,50.0
686,50.0
208,50.0
950,50.0
184,50.0
199,50.0
796,50.0
596,50.0
625,49.696969697
487,49.677419354799994
181,49.6551724138
919,49.5454545455
613,49.5454545455
791,49.523809523800004
506,49.523809523800004
648,49.523809523800004
862,49.523809523800004
369,49.5
774,49.5
911,49.5
449,49.411764705900005
59,49.310344827600005
763,49.2592592593
848,49.210526315799996
344,49.2
597,49.2
639,49.1176470588
714,49.0909090909
460,49.0909090909
840,49.0322580645
710,49.0
89,49.0
173,48.928571428599994
409,48.8
447,48.75
894,48.709677419399995
139,48.709677419399995
65,48.709677419399995
143,48.6956521739
502,48.6956521739
752,48.648648648599995
411,48.636363636400006
571,48.636363636400006
823,48.636363636400006
25,48.636363636400006
160,48.636363636400006
527,48.571428571400006
82,48.571428571400006
168,48.571428571400006
19,48.571428571400006
207,48.571428571400006
132,48.5
326,48.5
486,48.4210526316
609,48.4210526316
651,48.3870967742
604,48.3333333333
256,48.3333333333
673,48.285714285699996
706,48.285714285699996
539,48.285714285699996
583,48.275862069
111,48.2352941176
445,48.2051282051
240,48.181818181800004
867,48.181818181800004
379,48.1578947368
617,48.148148148100006
481,48.0952380952
177,48.0952380952
707,48.064516129
303,48.064516129
632,48.064516129
563,48.0
129,48.0
197,48.0
140,48.0
179,48.0
305,48.0
342,48.0
390,47.941176470600006
442,47.8947368421
365,47.878787878800004
934,47.8260869565
431,47.7777777778
933,47.7777777778
657,47.7419354839
518,47.6666666667
299,47.647058823500004
232,47.5757575758
462,47.5
164,47.4358974359
935,47.4358974359
73,47.4193548387
8,47.352941176499996
612,47.2222222222
591,47.1794871795
122,47.1428571429
843,46.9696969697
348,46.9444444444
905,46.9444444444
267,46.8965517241
723,46.8
568,46.7567567568
956,46.7567567568
362,46.6666666667
932,46.6666666667
422,46.5517241379
947,46.5217391304
34,46.5217391304
628,46.4864864865
35,46.4705882353
42,46.451612903199994
483,46.4
233,46.25
807,46.25
315,46.216216216199996
403,46.2068965517
266,46.1764705882
263,46.0869565217
109,46.071428571400006
512,46.0606060606
472,46.0606060606
290,46.0
899,46.0
0,46.0
638,45.9375
235,45.5172413793
62,45.5172413793
330,45.3571428571
671,45.3571428571
209,45.3333333333
329,45.2173913043
172,45.185185185200005
280,45.1612903226
809,45.0
724,44.8387096774
755,44.375
159,44.1935483871
654,43.783783783800004
736,43.6666666667
54,43.571428571400006
253,43.4482758621
156,42.5
