,twen
441,50.0
786,49.1489361702
588,49.111111111099994
855,49.019607843100005
835,48.8095238095
42,48.7878787879
201,48.5
456,48.4848484848
860,48.4
365,48.285714285699996
445,48.163265306099994
212,48.0555555556
23,48.048780487799995
15,47.9545454545
587,47.9245283019
39,47.8
658,47.7586206897
191,47.735849056599996
451,47.7272727273
583,47.631578947399994
720,47.61904761899999
807,47.61904761899999
621,47.560975609799996
244,47.560975609799996
733,47.5471698113
268,47.5471698113
209,47.5
424,47.457627118599994
272,47.428571428599994
503,47.391304347799995
850,47.38095238100001
544,47.38095238100001
448,47.368421052600006
392,47.3469387755
572,47.3170731707
163,47.3170731707
125,47.3076923077
382,47.2972972973
499,47.2549019608
757,47.2413793103
134,47.2413793103
406,47.2
287,47.1875
297,47.1794871795
280,47.1052631579
906,47.1052631579
211,47.0454545455
312,47.027027026999995
820,47.027027026999995
66,47.0175438596
18,46.9565217391
181,46.9444444444
8,46.9444444444
593,46.9444444444
198,46.9387755102
553,46.9387755102
130,46.923076923100005
685,46.923076923100005
7,46.851851851899994
301,46.8421052632
514,46.8421052632
465,46.8421052632
774,46.7567567568
580,46.7567567568
26,46.7441860465
481,46.724137931
462,46.6666666667
695,46.5789473684
283,46.5789473684
692,46.5384615385
530,46.5384615385
613,46.4814814815
155,46.4705882353
258,46.4583333333
783,46.4583333333
408,46.4444444444
565,46.428571428599994
197,46.3461538462
353,46.3157894737
118,46.3157894737
894,46.2962962963
910,46.2264150943
350,46.2264150943
67,46.1904761905
874,46.1538461538
113,46.1538461538
180,46.1538461538
249,46.1538461538
616,46.136363636400006
199,46.111111111099994
150,46.101694915299994
646,46.052631578900005
345,46.052631578900005
771,45.9459459459
752,45.8974358974
812,45.8490566038
308,45.8333333333
740,45.789473684200004
687,45.789473684200004
805,45.762711864399996
295,45.68627450979999
893,45.66037735850001
285,45.609756097600005
739,45.5555555556
703,45.5555555556
912,45.535714285699996
722,45.526315789499996
33,45.526315789499996
890,45.526315789499996
362,45.526315789499996
106,45.48387096770001
324,45.42372881359999
99,45.3571428571
624,45.3448275862
314,45.2777777778
668,45.2777777778
566,45.2631578947
78,45.1351351351
417,45.0
336,44.9152542373
803,44.9019607843
354,44.888888888900006
673,44.8648648649
883,44.84848484850001
506,44.821428571400006
260,44.814814814799995
787,44.7368421053
447,44.5454545455
561,44.5454545455
576,44.4827586207
816,44.33962264149999
371,44.2424242424
853,44.237288135600004
279,44.2307692308
265,44.210526315799996
221,44.0540540541
529,43.898305084700006
562,43.888888888900006
916,43.888888888900006
837,43.870967741899996
852,43.7931034483
784,43.75
208,43.75
571,43.6842105263
799,43.636363636400006
755,43.6206896552
836,43.5849056604
119,43.571428571400006
927,43.5135135135
877,43.2258064516
41,43.1578947368
422,43.0508474576
143,42.631578947399994
541,42.5714285714
439,42.264150943400004
398,42.2580645161
