,feats,400_ten_aft,400_twen_aft,400_threefive_aft,400_fifty_aft,400_sixty_aft,400_sevenfive_aft,400_nine_aft
0,feat1,0.3057544458303934,0.2519780484139826,0.3123856910301207,0.2786003928659043,0.24868708211675652,0.17975634992788173,0.04337783517813234
1,feat2,0.15587787527098956,0.14112762940643972,0.10427939758141383,0.11375635166810802,0.09630530602596672,0.09541119929625012,0.10129835242674284
2,feat3,0.11726299196812472,0.08063429629241253,0.0979034413678409,0.13607858841919998,0.10522831481129934,0.1283129655434038,0.13100673381064185
3,feat5,0.02584563209317592,,0.0546800752824445,0.04121858527791877,0.06152829728374707,0.06240296946838086,0.06724492996882729
4,feat6,0.08713975388187561,,,,,,
5,feat8,0.14668809222540233,0.1387560852587606,0.062265617325699074,0.03915855650590511,0.05490796187040539,,
6,feat9,0.07211982621861128,0.1389923919296046,0.07830574079785799,0.06262871476463233,0.036913948047407,0.04923203264184864,
7,feat11,0.089311382511427,,,0.04970546662644517,0.06166606231001834,0.08291135489641042,0.08208166918034232
8,feat14,,0.08454143667016105,0.07556597125696062,0.08810434030649446,0.0647457595187129,0.06337742778635605,0.07575115140855637
9,feat91,,0.06090933112081384,0.04803944211874173,,,,
10,feat131,,0.10306078090782533,0.042872909639317745,0.012154356867008786,0.05915355274827298,0.046930353984602234,0.0690521237455486
11,feat19,,,0.058303625565074096,0.050675448489811606,0.07513059688769382,0.07592657187730154,0.06057371148577197
12,feat59,,,0.028055995862805442,,,,
13,feat125,,,0.037342092171723296,0.07173905330840395,0.08294982050856706,0.13896555346613865,0.14880318664668515
14,feat62,,,,0.056180144900167324,0.05278329787115286,0.07677322111142605,0.19100900425157008
15,feat52,,,,,,,0.029801301897181196
