,400_ten_bef,400_ten_aft,400_twen_bef,400_twen_aft,400_threefive_bef,400_threefive_aft,400_fifty_bef,400_fifty_aft,400_sixty_bef,400_sixty_aft,400_sevenfive_bef,400_sevenfive_aft,400_nine_bef,400_nine_aft
100,1.3616152111547533,1.3333199730837164,1.2015843325286655,1.1967190463673425,1.8197218049672725,1.7502120304654085,2.0715222438170895,1.9375379676969609,1.8580782710786432,1.7830555555043013,2.115281817302122,2.0667815792445325,1.5280452360426882,1.4302825487337025
110,1.3578053663107057,1.331270192675497,1.207089705095117,1.1986903725630194,1.8185040012639428,1.7515273744275452,2.06900919533737,1.9420434920462475,1.859262422308573,1.7805113532944365,2.107137787211718,2.0712821055225206,1.530699098413933,1.4361564510052944
120,1.3540010421554867,1.3262768454943599,1.2052381110931527,1.1973172920819932,1.8196569383704473,1.7498844987381441,2.0676254665461973,1.947449457563992,1.8534325249227825,1.775182466269363,2.1085122127921476,2.0803763968056774,1.5170790312491103,1.4374267074541935
130,1.3524939984065525,1.3259872921026985,1.1998665309681982,1.1927451605682438,1.8159474447062904,1.7495529661561982,2.068698083659919,1.9513119777858186,1.8575197956192238,1.7828763924931736,2.107978423453793,2.07575769178825,1.5167628917555402,1.4311882545347268
140,1.3551956225297828,1.3271981284416337,1.1979003838098587,1.189749141943266,1.8127535249400875,1.7519557840736526,2.0707848505456528,1.9449269822962556,1.859037993178334,1.7869913310144723,2.1085744534672233,2.076639799936739,1.519594051489632,1.4278748363286087
150,1.3562983321226774,1.3253757013911323,1.194770021768734,1.1937942660384042,1.8178657056432879,1.7602805576961602,2.075786481874925,1.944707250939786,1.8572751369567384,1.7853786848647502,2.1007987125801737,2.0707758846791,1.5153284960255144,1.4338302821490065
160,1.3573353958342107,1.3322925832198773,1.1941367289448122,1.1938740751219084,1.822183062995412,1.7646456427139054,2.075384814359568,1.945950952770273,1.85935578477083,1.7916919051141198,2.1033421490235815,2.0766071840238483,1.5218856282405846,1.4363304875368113
170,1.357722640817268,1.335054508913649,1.1979073885418046,1.197831442415084,1.8241414311470772,1.7607605493343705,2.068778877785246,1.9511637569198768,1.8597595844061916,1.7966920267024635,2.1102894527341793,2.0776967711125947,1.5165941244921002,1.4373422464107108
180,1.360507203619017,1.333576512870439,1.2005830549391856,1.1964666043067933,1.822301698887917,1.761063857020147,2.0705040027131556,1.9503356934589622,1.8610020749793295,1.795280004508524,2.106352756190974,2.079397003966963,1.5161313168847226,1.4389625147354905
190,1.361151685972542,1.3326920616247884,1.201254495548786,1.1970368873173909,1.8186984680222393,1.7622267131170886,2.0674100482953035,1.9554166395894892,1.8565505230109332,1.8009111657961459,2.1125778762261636,2.0851845672583025,1.518527064387314,1.4360902043247519
200,1.362583740894503,1.3321691453906515,1.2012942710104744,1.1964045089880855,1.8227583295184386,1.7652800351728528,2.0691699150701606,1.955260143295439,1.8601355373964177,1.7975738240344967,2.111243712553199,2.0869910739147635,1.5170095266810655,1.4374460013414165
210,1.3639738083777855,1.3353945553695679,1.2005250731793315,1.1961629986443059,1.8242930215938793,1.7653041955501125,2.0709719170345533,1.9567302823102666,1.8609020076496106,1.798958996337877,2.112469227086026,2.088913619160794,1.514755011988644,1.440799960644022
220,1.3620197000649266,1.3346873118620333,1.1992593647253975,1.1966267791302405,1.821626352017004,1.764373655391991,2.0733120739462425,1.9591234234144836,1.8585160421582736,1.8012760985344618,2.1097712282403824,2.0883033957017347,1.5151433224869744,1.4431359149617216
230,1.3603707920893442,1.3325455664300754,1.2000333203429334,1.1982325022380833,1.8215755696962417,1.7639685458778183,2.073684957833273,1.9597820574664164,1.859500071078429,1.8023046792711288,2.112459578007806,2.086781581617862,1.5174717193221303,1.4455090887808777
240,1.360778485669821,1.3342594479369079,1.198872068834013,1.198853582697328,1.8195741534949128,1.7642492769021174,2.073834370060867,1.9598809236484374,1.8600791281408555,1.8010278456035982,2.1155323382813096,2.0878205828402856,1.5160181426027628,1.4459228799972124
250,1.362186986088606,1.3326758122913318,1.197757102541021,1.198645591650898,1.8183794848422041,1.7656329398016877,2.0718449087560797,1.9620128754212207,1.859943733172502,1.800915569407426,2.1129161889371653,2.085100628534238,1.5173048940896179,1.4489887627526947
260,1.3617450566376421,1.3365158820033773,1.1985834599914582,1.1991037871944201,1.8182518317451706,1.7659953342992514,2.0722958555998727,1.9629760926212425,1.8567708099497093,1.802311312001755,2.1119310064895385,2.0822700610527876,1.5192008052158952,1.448079100258738
270,1.361835350444855,1.3353498997360873,1.199365235815944,1.198752143394626,1.8182146665257066,1.7648404577513819,2.0711935093456546,1.9632594755712363,1.8556373232680634,1.8029863828894157,2.1146171495072337,2.083348621905331,1.5183730075102895,1.44601578271805
280,1.3630847450969152,1.335561073282035,1.1992155865891412,1.1979275953076334,1.8172465773380824,1.7641208446183738,2.067709931080155,1.964679672492571,1.8522420313498031,1.8031327992244928,2.1134352680222457,2.079895149368922,1.5183949760834772,1.4422955608287835
290,1.3627156063402261,1.3354271346588995,1.1976380994139122,1.198116259176557,1.8153225159945372,1.7649372869823645,2.066958980569831,1.9640374489781887,1.8495238159153957,1.8047206679855785,2.1101494863171326,2.0777174443193758,1.5195816016469224,1.4404542402359588
